1,Chandoo - Tech in Telugu,"Learn C++ in 6 Hours: Complete Telugu Course with FREE Code Samples + 2 Projects",Video,Telugu,Beginner,1,6.00,"Modern beginner-friendly C++ course in Telugu covering fundamentals, OOP, STL basics, practical coding, and two hands-on projects with downloadable code samples.",https://www.youtube.com/@ChandooTechInTelugu,https://www.youtube.com/watch?v=rPaOM4D-18A
2,Vamsi Bhavani,"Complete C++ in Telugu | [A-Z] Cpp Explained in 7 Hours | Vamsi Bhavani",Video,Telugu,Beginner,1,7.00,"Comprehensive one-shot C++ course in Telugu covering syntax, variables, control flow, functions, arrays, pointers, OOP, and standard programming concepts.",https://www.youtube.com/@VamsiBhavani,https://www.youtube.com/watch?v=KKRzUB7mWUs
3,Vamsi Bhavani,"C++ Course in Telugu : 25 Days Challenge",Playlist,Telugu,Beginner,26,8.50,"Structured day-wise C++ playlist covering fundamentals, object-oriented programming, pointers, STL basics, problem solving, and practical coding exercises.",https://www.youtube.com/@VamsiBhavani,https://www.youtube.com/playlist?list=PLNgoFk5SYUgIsFq6H2WkQODuzsQyyRrPl
4,Naresh i Technologies,"C++ Programming Language | C++ Tutorial",Playlist,Telugu,Beginner,79,32.00,"Detailed classroom-style C++ course covering core language concepts, object-oriented programming, inheritance, polymorphism, templates, exception handling, and STL.",https://www.youtube.com/@NareshIT,https://www.youtube.com/playlist?list=PLVIQHNRLfIP8_DGKcMoRw-TYJJALgGu4J
5,Believer 01,"C++ Full Course in Telugu",Playlist,Telugu,Beginner,44,12.00,"Beginner-oriented C++ playlist covering syntax, variables, control flow, functions, arrays, pointers, classes, and object-oriented programming.",https://www.youtube.com/@Believer01,https://www.youtube.com/playlist?list=PLO8LmDdhrmixdNA8fbzSxr9kLFgAdyBr5

1,Bro Code,C++ Full Course for Free,Video,English,Beginner,1,12.0,"Comprehensive modern C++ course with hands-on coding and clear explanations",https://www.youtube.com/@BroCodez,https://www.youtube.com/watch?v=-TkoO8Z07hI
2,Bro Code,C++ Tutorial for Beginners,Playlist,English,Beginner,60,8.5,"Structured bite-sized lessons covering C++ from basics to intermediate topics",https://www.youtube.com/@BroCodez,https://www.youtube.com/playlist?list=PLZPZq0r_RZOMHoXIcxze_lP97j2Ase2on
3,Neso Academy,C++ Programming,Playlist,English,Beginner-Intermediate,50,12.5,"Well-structured academic course with strong coverage of C++ fundamentals",https://www.youtube.com/@nesoacademy,https://www.youtube.com/playlist?list=PLBlnK6fEyqRh6isJ01MBnbNpV3ZsktSyS
4,Mike Shah,The C++ Programming Language,Playlist,English,Intermediate,250,35.0,"Extensive modern C++ series with in-depth explanations and advanced topics",https://www.youtube.com/@MikeShah,https://www.youtube.com/playlist?list=PLvv0ScY6vfd8j-tlhYVPYgilyXduu6m-L
5,freeCodeCamp.org,C++ Tutorial for Beginners - Full Course,Video,English,Beginner,1,4.0,"Beginner-friendly complete C++ course taught by Giraffe Academy",https://www.youtube.com/@freecodecamp,https://www.youtube.com/watch?v=vLnPwxZdW4Y

1,CodeHelp - by Babbar,Complete C++ Placement DSA Course,Playlist,Hindi,Beginner to Advanced,149,125,"Comprehensive C++ playlist covering fundamentals, OOP, STL, pointers, memory management, recursion, advanced concepts, problem solving, and DSA preparation with structured progression.",https://www.youtube.com/@CodeHelp,https://www.youtube.com/playlist?list=PLDzeHZWIZsTryvtXdMr6rPh4IDexB5NIA
2,CodeWithHarry,C++ Tutorials In Hindi,Playlist,Hindi,Beginner to Advanced,74,22,"Well-structured C++ playlist covering syntax, OOP, functions, pointers, arrays, STL basics, file handling, and practical programming examples suitable for beginners.",https://www.youtube.com/@CodeWithHarry,https://www.youtube.com/playlist?list=PLu0W_9lII9agFUAlPFe_VNsiXW5uE0YL
3,DataFlair,C++ Full Course in Hindi | C++ Tutorial for Beginners,Playlist,Hindi,Beginner to Advanced,46,18,"Beginner-to-advanced C++ playlist covering core language concepts, OOP, STL, file handling, exception handling, projects, and practical examples.",https://www.youtube.com/@DataFlairEducation,https://www.youtube.com/playlist?list=PLf0LpPWikpPcNC9gaZVn3fygr1IAiN1Ih
4,Learn Coding,C++ Full Course (Hindi),Video,Hindi,Beginner to Advanced,1,16,"Complete one-shot C++ course covering programming fundamentals, OOP, functions, arrays, pointers, classes, inheritance, polymorphism, STL basics, and practical coding.",https://www.youtube.com/@LearnCodingOfficial,https://www.youtube.com/watch?v=HME2SrWWSYk
5,College Wallah,Complete C++ Tutorial in One Shot 2023 | Beginner To Advance | Basics Of C++ Programming,Video,Hindi,Beginner to Advanced,1,15,"Detailed one-shot C++ tutorial covering language basics, OOP concepts, functions, arrays, pointers, classes, inheritance, polymorphism, and introductory STL.",https://www.youtube.com/@CollegeWallah,https://www.youtube.com/watch?v=e7sAf4Sbs_g
6,Great Learning,C++ Tutorial For Beginners in Hindi | C++ Programming | C++ Full Course | Great Learning,Video,Hindi,Beginner to Intermediate,1,11,"Beginner-friendly C++ course introducing syntax, control flow, functions, arrays, pointers, object-oriented programming, and basic practical examples.",https://www.youtube.com/@GreatLearning,https://www.youtube.com/watch?v=Umm1ZQ5ltZw
