1,freeCodeCamp.org,"C Programming Tutorial for Beginners",Video,English,Beginner,1,4.00,"Complete beginner-friendly C programming course covering variables, operators, control flow, functions, arrays, pointers, strings, memory, and core programming concepts.",https://www.youtube.com/@freecodecamp,https://www.youtube.com/watch?v=KJgsSFOSQv0
2,Bro Code,"C Programming Full Course for free",Video,English,Beginner,1,4.32,"Comprehensive one-shot C programming course covering syntax, variables, operators, functions, arrays, pointers, strings, memory management, and file handling.",https://www.youtube.com/@BroCodez,https://www.youtube.com/watch?v=87SH2Cn0s9A
3,Bro Code,"C tutorial for beginners",Playlist,English,Beginner,46,Unknown,"Structured C programming playlist covering C fundamentals, data types, operators, functions, arrays, pointers, strings, memory, and file handling.",https://www.youtube.com/@BroCodez,https://www.youtube.com/playlist?list=PLZPZq0r_RZOOzY_vR4zJM32SqsSInGMwe
4,Programiz,"C Programming for Beginners",Playlist,English,Beginner,31,Unknown,"Beginner-friendly C programming playlist covering language fundamentals, control statements, functions, arrays, pointers, strings, and practical coding examples.",https://www.youtube.com/@Programiz,https://www.youtube.com/playlist?list=PL98qAXLA6aftD9ZlnjpLhdQAOFI8xIB6e
5,Portfolio Courses,"C Programming Tutorials",Playlist,English,Beginner to Intermediate,189,Unknown,"Extensive C programming tutorial series covering C concepts, syntax, functions, pointers, data structures, file handling, and advanced programming topics.",https://www.youtube.com/@PortfolioCourses,https://www.youtube.com/playlist?list=PLA1FTfKBAEX4hbIYoH6mnq0zsie2w6Wif

1,PythonLife,"C Language Full Course in Telugu | C Tutorials in Telugu | C for Beginners in Telugu",Video,Telugu,Beginner,1,Unknown,"Complete C programming course in Telugu covering programming fundamentals, syntax, control statements, functions, arrays, pointers, and core concepts.",https://www.youtube.com/@PythonLife,https://www.youtube.com/watch?v=uLfCFa1Vaj0
2,MSquare,"C language Full Tutorial for Beginners in Telugu | C language Full Course in Telugu",Video,Telugu,Beginner,1,Unknown,"One-shot C programming course in Telugu covering C fundamentals, operators, functions, arrays, pointers, structures, and programming basics.",https://www.youtube.com/@MSquare,https://www.youtube.com/watch?v=m8Dpqwi7-lk
3,MSquare,"C language Full Tutorial for Beginners in Telugu",Playlist,Telugu,Beginner,11,Unknown,"Structured Telugu playlist teaching C programming from basics through core programming concepts.",https://www.youtube.com/@MSquare,https://www.youtube.com/playlist?list=PL40oTeawoKV-CC8RHFV5YH9Ag3QVhpXqn
4,Telugu Web Guru,"C Programming in Telugu – Full Course",Playlist,Telugu,Beginner to Advanced,63,Unknown,"Comprehensive C programming playlist in Telugu covering beginner to advanced topics with detailed explanations and examples.",https://www.youtube.com/@teluguwebguru,https://www.youtube.com/playlist?list=PLh6Yk2rpZu2IC3EhK_zmGMZPGMKSsf22P
5,Believer 01,"C Language in Telugu in 7 hours | Complete tutorial",Video,Telugu,Beginner,1,7.00,"Complete one-shot C programming tutorial in Telugu covering core language fundamentals and programming concepts.",https://www.youtube.com/@Believer01,https://www.youtube.com/watch?v=IdGF6NVzo3E
6,Ai Syntax,"C Programming Full Course in Telugu | Learn C Language",Playlist,Telugu,Beginner,21,Unknown,"Beginner-oriented Telugu playlist introducing C programming concepts in a structured classroom format.",https://www.youtube.com/@AiSyntax,https://www.youtube.com/playlist?list=PL2jsApLTND7TyIMEBCB-snFwTi2SifBuK

1,Jenny's Lectures CS IT,Programming in C,Playlist,English,Beginner to Advanced,150,36,"Comprehensive university-style C course covering fundamentals, memory, pointers, arrays, strings, functions, structures, file handling, dynamic memory, modular programming, and extensive problem solving.",https://www.youtube.com/@JennyslecturesCSIT,https://www.youtube.com/playlist?list=PLdo5W4Nhv31a8UcMN9-35ghv8qyFWD9_S
2,Learn Coding,C Programming 2026,Playlist,Hindi,Beginner to Advanced,93,27,"Well-structured C programming playlist with detailed handwritten notes covering complete C syntax, pointers, structures, dynamic memory, file handling, practice programs, and implementation-focused learning.",https://www.youtube.com/@LearnCodingOfficial,https://www.youtube.com/playlist?list=PLqlelpAMfxGBn9v-K17ztBfNXHzPnX5sN
3,College Wallah,C Programming Course,Playlist,Hindi,Beginner to Advanced,12,43,"Long-form lecture playlist covering complete C programming from basics to advanced topics including functions, pointers, arrays, strings, structures, file handling, dynamic memory, and numerous coding problems.",https://www.youtube.com/@CollegeWallah,https://www.youtube.com/playlist?list=PLxgZQoSe9cg1drBnejUaDD9GEJBGQ5hMt
4,Apna College,C Language Tutorial for Beginners (with Notes & Practice Questions),Video,Hindi,Beginner to Intermediate,1,12.6,"Complete one-shot C tutorial with notes and practice questions covering core C concepts, functions, arrays, pointers, structures, file handling, and programming fundamentals.",https://www.youtube.com/@ApnaCollegeOfficial,https://www.youtube.com/watch?v=irqbmMNs2Bo&t=22867s
5,CodeWithHarry,C Language Tutorial for Beginners (With Notes + Surprise),Video,Hindi,Beginner to Intermediate,1,11.9,"Well-explained one-shot C course covering language fundamentals, functions, arrays, pointers, structures, file handling, and hands-on coding examples.",https://www.youtube.com/@CodeWithHarry,https://www.youtube.com/watch?v=aZb0iu4uGwA
6,ProgrammingWithHarry,C Language Tutorial for Beginners (With Notes),Video,English,Beginner to Intermediate,1,10.0,"Beginner-friendly C tutorial introducing core language concepts, variables, control flow, functions, arrays, pointers, structures, and basic file handling.",https://www.youtube.com/@ProgrammingWithHarry,https://www.youtube.com/watch?v=_MF8L7ZxwRE


